Levenshtein.jaro_winkler,Amit Daryanani,Atif Malik,Blayne Curtis,Bob Halliday,C. J. Muse,C.J. Muse,Christopher Muse,Craig A. Ellis,Craig Ellis,Dan Durn,Daniel Durn,Daniel J. Durn,David M. Wong,David Wong,Edwin Mok,Farhan Ahmad,Gary Dickerson,Gary E. Dickerson,Harlan Sur,Jagadish Iyer,Jerome Ramel,Joe Moore,Joe Quatrochi,John Pitzer,John W. Pitzer,Joseph L. Moore,Joseph Moore,Krish Sankar,Mehdi Hosseini,Michael Sullivan,Mitch Steves,Patrick Ho,Patrick J Ho,Patrick J. Ho,Pierre Ferragu,Quinn Bolton,Robert Halliday,Robert J. Halliday,Romit Jitendra Shah,Romit Shah,Shek Ho,Sidney Ho,Sreekrishnan Sankar,Stephen Chin,Steven Chin,Thomas Robert Diffely,Tim Arcuri,Timothy Arcuri,Tom Diffely,Toshiya Hari,Unverified Participant,Vivek Arya,West Twigg,Weston Twigg,Y. Edwin Mok
Amit Daryanani,1.0,0.66,0.54,0.42,0.39,0.39,0.35,0.48,0.47,0.6,0.55,0.51,0.45,0.49,0.46,0.5,0.52,0.49,0.45,0.49,0.37,0.46,0.48,0.42,0.4,0.43,0.44,0.48,0.44,0.46,0.49,0.49,0.46,0.45,0.4,0.52,0.51,0.42,0.61,0.62,0.4,0.4,0.46,0.46,0.47,0.47,0.59,0.55,0.5,0.6,0.36,0.52,0.34,0.46,0.38
Atif Malik,0.66,1.0,0.4,0.58,0.47,0.47,0.27,0.52,0.55,0.41,0.42,0.4,0.4,0.37,0.61,0.29,0.48,0.46,0.37,0.34,0.52,0.47,0.51,0.29,0.45,0.44,0.46,0.58,0.44,0.52,0.45,0.5,0.47,0.46,0.5,0.52,0.61,0.54,0.45,0.52,0.41,0.47,0.32,0.52,0.52,0.27,0.48,0.48,0.46,0.49,0.48,0.48,0.42,0.52,0.49
Blayne Curtis,0.54,0.4,1.0,0.58,0.4,0.42,0.52,0.48,0.51,0.67,0.63,0.58,0.38,0.4,0.46,0.49,0.58,0.55,0.63,0.57,0.33,0.52,0.55,0.53,0.49,0.48,0.49,0.42,0.45,0.53,0.42,0.45,0.38,0.41,0.41,0.42,0.48,0.45,0.43,0.39,0.48,0.46,0.43,0.53,0.55,0.5,0.49,0.52,0.33,0.53,0.47,0.4,0.51,0.46,0.33
Bob Halliday,0.42,0.58,0.58,1.0,0.39,0.4,0.26,0.42,0.46,0.31,0.44,0.41,0.38,0.41,0.3,0.39,0.38,0.36,0.41,0.5,0.56,0.46,0.55,0.51,0.49,0.43,0.44,0.43,0.42,0.54,0.39,0.41,0.39,0.33,0.44,0.44,0.88,0.84,0.49,0.45,0.48,0.46,0.36,0.44,0.45,0.35,0.46,0.41,0.56,0.6,0.46,0.41,0.46,0.5,0.39
C. J. Muse,0.39,0.47,0.4,0.39,1.0,0.93,0.55,0.66,0.57,0.48,0.36,0.51,0.44,0.4,0.47,0.39,0.39,0.46,0.47,0.49,0.35,0.53,0.4,0.41,0.55,0.61,0.49,0.29,0.5,0.33,0.41,0.4,0.52,0.57,0.28,0.39,0.39,0.54,0.49,0.4,0.41,0.31,0.38,0.29,0.29,0.37,0.47,0.45,0.46,0.39,0.26,0.4,0.4,0.39,0.58
C.J. Muse,0.39,0.47,0.42,0.4,0.93,1.0,0.56,0.46,0.58,0.49,0.37,0.47,0.35,0.4,0.48,0.4,0.4,0.39,0.47,0.5,0.42,0.63,0.52,0.54,0.45,0.55,0.52,0.3,0.49,0.4,0.43,0.4,0.4,0.4,0.29,0.3,0.29,0.39,0.39,0.4,0.42,0.31,0.28,0.3,0.3,0.38,0.47,0.46,0.47,0.3,0.39,0.31,0.31,0.3,0.53
Christopher Muse,0.35,0.27,0.52,0.26,0.55,0.56,1.0,0.6,0.57,0.4,0.49,0.46,0.39,0.44,0.45,0.36,0.5,0.46,0.42,0.45,0.58,0.4,0.4,0.53,0.48,0.61,0.66,0.46,0.55,0.48,0.51,0.44,0.41,0.4,0.53,0.44,0.42,0.4,0.48,0.42,0.47,0.44,0.46,0.46,0.42,0.54,0.38,0.52,0.38,0.46,0.41,0.27,0.33,0.41,0.4
Craig A. Ellis,0.48,0.52,0.48,0.42,0.66,0.46,0.6,1.0,0.97,0.46,0.47,0.51,0.58,0.48,0.46,0.46,0.44,0.58,0.39,0.45,0.46,0.39,0.45,0.27,0.36,0.47,0.38,0.41,0.44,0.49,0.49,0.48,0.52,0.57,0.37,0.49,0.55,0.63,0.42,0.45,0.4,0.46,0.42,0.44,0.27,0.49,0.49,0.52,0.38,0.46,0.41,0.5,0.34,0.32,0.46
Craig Ellis,0.47,0.55,0.51,0.46,0.57,0.58,0.57,0.97,1.0,0.48,0.49,0.47,0.5,0.5,0.47,0.4,0.47,0.49,0.42,0.48,0.48,0.4,0.39,0.29,0.27,0.39,0.39,0.44,0.47,0.53,0.51,0.5,0.48,0.47,0.38,0.51,0.59,0.58,0.48,0.46,0.41,0.47,0.48,0.45,0.29,0.39,0.46,0.5,0.4,0.48,0.43,0.46,0.36,0.34,0.34
Dan Durn,0.6,0.41,0.67,0.31,0.48,0.49,0.4,0.46,0.48,1.0,0.94,0.72,0.68,0.71,0.49,0.49,0.47,0.45,0.58,0.4,0.31,0.49,0.54,0.55,0.46,0.4,0.47,0.47,0.4,0.52,0.4,0.45,0.43,0.42,0.3,0.44,0.29,0.29,0.45,0.41,0.42,0.49,0.45,0.54,0.55,0.45,0.45,0.46,0.31,0.47,0.45,0.48,0.41,0.47,0.47
Daniel Durn,0.55,0.42,0.63,0.44,0.36,0.37,0.49,0.47,0.49,0.94,1.0,0.98,0.69,0.72,0.42,0.51,0.59,0.55,0.66,0.56,0.4,0.54,0.48,0.54,0.47,0.49,0.51,0.49,0.47,0.64,0.4,0.52,0.44,0.43,0.5,0.49,0.46,0.37,0.44,0.46,0.49,0.52,0.41,0.48,0.5,0.43,0.5,0.47,0.47,0.48,0.43,0.59,0.36,0.4,0.4
Daniel J. Durn,0.51,0.4,0.58,0.41,0.51,0.47,0.46,0.51,0.47,0.72,0.98,1.0,0.74,0.7,0.4,0.49,0.55,0.58,0.62,0.52,0.38,0.52,0.55,0.5,0.55,0.53,0.49,0.46,0.44,0.6,0.38,0.5,0.59,0.63,0.5,0.46,0.35,0.45,0.5,0.45,0.48,0.49,0.41,0.46,0.47,0.43,0.56,0.44,0.44,0.46,0.51,0.56,0.34,0.37,0.46
David M. Wong,0.45,0.4,0.38,0.38,0.44,0.35,0.39,0.58,0.5,0.68,0.69,0.74,1.0,0.97,0.58,0.38,0.52,0.55,0.45,0.46,0.39,0.52,0.38,0.28,0.48,0.47,0.49,0.42,0.55,0.47,0.33,0.57,0.6,0.64,0.48,0.55,0.26,0.47,0.42,0.45,0.48,0.58,0.35,0.27,0.47,0.42,0.45,0.37,0.33,0.38,0.5,0.4,0.4,0.47,0.61
David Wong,0.49,0.37,0.4,0.41,0.4,0.4,0.44,0.48,0.5,0.71,0.72,0.7,0.97,1.0,0.52,0.41,0.57,0.44,0.42,0.49,0.29,0.47,0.4,0.41,0.34,0.44,0.46,0.52,0.55,0.38,0.46,0.6,0.58,0.57,0.5,0.45,0.39,0.39,0.49,0.47,0.5,0.59,0.44,0.29,0.41,0.31,0.47,0.39,0.36,0.41,0.53,0.42,0.42,0.45,0.51
Edwin Mok,0.46,0.61,0.46,0.3,0.47,0.48,0.45,0.46,0.47,0.49,0.42,0.4,0.58,0.52,1.0,0.46,0.41,0.39,0.47,0.52,0.3,0.56,0.46,0.37,0.46,0.51,0.53,0.51,0.58,0.45,0.46,0.49,0.47,0.46,0.46,0.59,0.39,0.39,0.44,0.47,0.5,0.64,0.33,0.46,0.47,0.27,0.47,0.4,0.3,0.46,0.38,0.43,0.38,0.36,0.81
Farhan Ahmad,0.5,0.29,0.49,0.39,0.39,0.4,0.36,0.46,0.4,0.49,0.51,0.49,0.38,0.41,0.46,1.0,0.49,0.48,0.64,0.46,0.47,0.3,0.42,0.51,0.49,0.43,0.44,0.53,0.44,0.44,0.44,0.52,0.5,0.49,0.49,0.44,0.45,0.52,0.35,0.45,0.48,0.46,0.55,0.56,0.34,0.34,0.35,0.49,0.39,0.39,0.38,0.41,0.39,0.44,0.28
Gary Dickerson,0.52,0.48,0.58,0.38,0.39,0.4,0.5,0.44,0.47,0.47,0.59,0.55,0.52,0.57,0.41,0.49,1.0,0.97,0.56,0.54,0.38,0.4,0.51,0.55,0.52,0.35,0.37,0.55,0.51,0.46,0.49,0.64,0.6,0.58,0.4,0.46,0.46,0.29,0.41,0.28,0.4,0.5,0.55,0.41,0.42,0.43,0.55,0.56,0.55,0.49,0.48,0.49,0.45,0.44,0.52
Gary E. Dickerson,0.49,0.46,0.55,0.36,0.46,0.39,0.46,0.58,0.49,0.45,0.55,0.58,0.55,0.44,0.39,0.48,0.97,1.0,0.55,0.55,0.48,0.39,0.47,0.53,0.59,0.53,0.44,0.47,0.42,0.44,0.48,0.54,0.61,0.63,0.42,0.48,0.38,0.4,0.42,0.39,0.4,0.45,0.5,0.48,0.48,0.52,0.43,0.43,0.53,0.47,0.46,0.33,0.44,0.43,0.5
Harlan Sur,0.45,0.37,0.63,0.41,0.47,0.47,0.42,0.39,0.42,0.58,0.66,0.62,0.45,0.42,0.47,0.64,0.56,0.55,1.0,0.57,0.41,0.31,0.44,0.52,0.5,0.44,0.46,0.59,0.39,0.6,0.46,0.53,0.52,0.51,0.44,0.35,0.39,0.44,0.37,0.37,0.41,0.47,0.37,0.46,0.46,0.48,0.52,0.39,0.4,0.49,0.44,0.37,0.4,0.46,0.29
Jagadish Iyer,0.49,0.34,0.57,0.5,0.49,0.5,0.45,0.45,0.48,0.4,0.56,0.52,0.46,0.49,0.52,0.46,0.54,0.55,0.57,1.0,0.52,0.55,0.55,0.63,0.59,0.61,0.64,0.51,0.49,0.4,0.47,0.51,0.49,0.49,0.45,0.44,0.4,0.35,0.45,0.44,0.41,0.42,0.51,0.42,0.39,0.5,0.51,0.51,0.39,0.66,0.4,0.49,0.34,0.33,0.33
Jerome Ramel,0.37,0.52,0.33,0.56,0.35,0.42,0.58,0.46,0.48,0.31,0.4,0.38,0.39,0.29,0.3,0.47,0.38,0.48,0.41,0.52,1.0,0.62,0.56,0.53,0.59,0.57,0.53,0.5,0.41,0.36,0.39,0.46,0.44,0.44,0.59,0.39,0.55,0.53,0.47,0.58,0.45,0.42,0.43,0.5,0.51,0.54,0.35,0.38,0.56,0.39,0.55,0.49,0.46,0.5,0.39
Joe Moore,0.46,0.47,0.52,0.46,0.53,0.63,0.4,0.39,0.4,0.49,0.54,0.52,0.52,0.47,0.56,0.3,0.4,0.39,0.31,0.55,0.62,1.0,0.79,0.68,0.66,0.7,0.93,0.46,0.54,0.34,0.42,0.38,0.36,0.29,0.45,0.53,0.49,0.47,0.47,0.47,0.59,0.56,0.39,0.42,0.42,0.53,0.47,0.52,0.54,0.53,0.49,0.54,0.47,0.42,0.53
Joe Quatrochi,0.48,0.51,0.55,0.55,0.4,0.52,0.4,0.45,0.39,0.54,0.48,0.55,0.38,0.4,0.46,0.42,0.51,0.47,0.44,0.55,0.56,0.79,1.0,0.67,0.64,0.68,0.71,0.49,0.41,0.43,0.38,0.52,0.49,0.47,0.41,0.54,0.57,0.54,0.57,0.49,0.55,0.52,0.42,0.5,0.51,0.53,0.53,0.65,0.39,0.53,0.48,0.49,0.49,0.47,0.38
John Pitzer,0.42,0.29,0.53,0.51,0.41,0.54,0.53,0.27,0.29,0.55,0.54,0.5,0.28,0.41,0.37,0.51,0.55,0.53,0.52,0.63,0.53,0.68,0.67,1.0,0.96,0.65,0.68,0.52,0.5,0.37,0.49,0.46,0.44,0.43,0.47,0.56,0.54,0.44,0.55,0.52,0.49,0.44,0.44,0.52,0.53,0.47,0.41,0.52,0.58,0.56,0.49,0.41,0.36,0.46,0.34
John W. Pitzer,0.4,0.45,0.49,0.49,0.55,0.45,0.48,0.36,0.27,0.46,0.47,0.55,0.48,0.34,0.46,0.49,0.52,0.59,0.5,0.59,0.59,0.66,0.64,0.96,1.0,0.73,0.67,0.46,0.47,0.39,0.54,0.28,0.32,0.36,0.37,0.41,0.39,0.49,0.56,0.39,0.48,0.46,0.41,0.54,0.42,0.53,0.39,0.48,0.55,0.52,0.46,0.39,0.39,0.46,0.46
Joseph L. Moore,0.43,0.44,0.48,0.43,0.61,0.55,0.61,0.47,0.39,0.4,0.49,0.53,0.47,0.44,0.51,0.43,0.35,0.53,0.44,0.61,0.57,0.7,0.68,0.65,0.73,1.0,0.98,0.53,0.47,0.35,0.41,0.44,0.48,0.52,0.43,0.37,0.47,0.47,0.41,0.39,0.43,0.51,0.37,0.53,0.38,0.53,0.44,0.52,0.38,0.58,0.36,0.44,0.39,0.45,0.53
Joseph Moore,0.44,0.46,0.49,0.44,0.49,0.52,0.66,0.38,0.39,0.47,0.51,0.49,0.49,0.46,0.53,0.44,0.37,0.44,0.46,0.64,0.53,0.93,0.71,0.68,0.67,0.98,1.0,0.56,0.5,0.37,0.43,0.46,0.44,0.44,0.41,0.39,0.45,0.44,0.43,0.41,0.55,0.53,0.39,0.54,0.4,0.52,0.46,0.54,0.4,0.61,0.38,0.52,0.41,0.47,0.5
Krish Sankar,0.48,0.58,0.42,0.43,0.29,0.3,0.46,0.41,0.44,0.47,0.49,0.46,0.42,0.52,0.51,0.53,0.55,0.47,0.59,0.51,0.5,0.46,0.49,0.52,0.46,0.53,0.56,1.0,0.46,0.54,0.56,0.49,0.44,0.43,0.46,0.39,0.53,0.52,0.46,0.54,0.48,0.42,0.62,0.39,0.4,0.42,0.45,0.54,0.28,0.6,0.55,0.51,0.35,0.39,0.47
Mehdi Hosseini,0.44,0.44,0.45,0.42,0.5,0.49,0.55,0.44,0.47,0.4,0.47,0.44,0.55,0.55,0.58,0.44,0.51,0.42,0.39,0.49,0.41,0.54,0.41,0.5,0.47,0.47,0.5,0.46,1.0,0.64,0.58,0.56,0.54,0.53,0.36,0.54,0.46,0.41,0.44,0.34,0.62,0.64,0.5,0.53,0.55,0.49,0.5,0.44,0.47,0.55,0.49,0.39,0.39,0.46,0.42
Michael Sullivan,0.46,0.52,0.53,0.54,0.33,0.4,0.48,0.49,0.53,0.52,0.64,0.6,0.47,0.38,0.45,0.44,0.46,0.44,0.6,0.4,0.36,0.34,0.43,0.37,0.39,0.35,0.37,0.54,0.64,1.0,0.73,0.42,0.4,0.39,0.46,0.44,0.54,0.51,0.48,0.47,0.54,0.51,0.47,0.51,0.49,0.44,0.54,0.56,0.37,0.51,0.49,0.42,0.5,0.48,0.26
Mitch Steves,0.49,0.45,0.42,0.39,0.41,0.43,0.51,0.49,0.51,0.4,0.4,0.38,0.33,0.46,0.46,0.44,0.49,0.48,0.46,0.47,0.39,0.42,0.38,0.49,0.54,0.41,0.43,0.56,0.58,0.73,1.0,0.49,0.47,0.46,0.41,0.5,0.32,0.31,0.56,0.54,0.48,0.42,0.39,0.5,0.57,0.45,0.41,0.54,0.4,0.39,0.34,0.41,0.46,0.44,0.28
Patrick Ho,0.49,0.5,0.45,0.41,0.4,0.4,0.44,0.48,0.5,0.45,0.52,0.5,0.57,0.6,0.49,0.52,0.64,0.54,0.53,0.51,0.46,0.38,0.52,0.46,0.28,0.44,0.46,0.49,0.56,0.42,0.49,1.0,0.99,0.98,0.53,0.52,0.47,0.46,0.37,0.42,0.66,0.61,0.45,0.46,0.41,0.48,0.43,0.4,0.29,0.49,0.48,0.43,0.42,0.49,0.41
Patrick J Ho,0.46,0.47,0.38,0.39,0.52,0.4,0.41,0.52,0.48,0.43,0.44,0.59,0.6,0.58,0.47,0.5,0.6,0.61,0.52,0.49,0.44,0.36,0.49,0.44,0.32,0.48,0.44,0.44,0.54,0.4,0.47,0.99,1.0,1.0,0.51,0.5,0.45,0.56,0.49,0.41,0.48,0.59,0.43,0.39,0.4,0.42,0.41,0.42,0.28,0.47,0.46,0.41,0.41,0.39,0.44
Patrick J. Ho,0.45,0.46,0.41,0.33,0.57,0.4,0.4,0.57,0.47,0.42,0.43,0.63,0.64,0.57,0.46,0.49,0.58,0.63,0.51,0.49,0.44,0.29,0.47,0.43,0.36,0.52,0.44,0.43,0.53,0.39,0.46,0.98,1.0,1.0,0.5,0.49,0.48,0.59,0.48,0.4,0.48,0.58,0.42,0.38,0.39,0.42,0.4,0.41,0.28,0.46,0.46,0.4,0.4,0.38,0.43
Pierre Ferragu,0.4,0.5,0.41,0.44,0.28,0.29,0.53,0.37,0.38,0.3,0.5,0.5,0.48,0.5,0.46,0.49,0.4,0.42,0.44,0.45,0.59,0.45,0.41,0.47,0.37,0.43,0.41,0.46,0.36,0.46,0.41,0.53,0.51,0.5,1.0,0.44,0.52,0.5,0.47,0.5,0.48,0.52,0.5,0.49,0.5,0.33,0.44,0.44,0.33,0.46,0.49,0.55,0.5,0.49,0.27
Quinn Bolton,0.52,0.52,0.42,0.44,0.39,0.3,0.44,0.49,0.51,0.44,0.49,0.46,0.55,0.45,0.59,0.44,0.46,0.48,0.35,0.44,0.39,0.53,0.54,0.56,0.41,0.37,0.39,0.39,0.54,0.44,0.5,0.52,0.5,0.49,0.44,1.0,0.37,0.35,0.39,0.41,0.48,0.59,0.47,0.5,0.4,0.34,0.46,0.41,0.48,0.33,0.42,0.46,0.29,0.39,0.43
Robert Halliday,0.51,0.61,0.48,0.88,0.39,0.29,0.42,0.55,0.59,0.29,0.46,0.35,0.26,0.39,0.39,0.45,0.46,0.38,0.39,0.4,0.55,0.49,0.57,0.54,0.39,0.47,0.45,0.53,0.46,0.54,0.32,0.47,0.45,0.48,0.52,0.37,1.0,0.98,0.69,0.69,0.54,0.51,0.46,0.45,0.46,0.58,0.39,0.46,0.54,0.59,0.5,0.47,0.56,0.48,0.43
Robert J. Halliday,0.42,0.54,0.45,0.84,0.54,0.39,0.4,0.63,0.58,0.29,0.37,0.45,0.47,0.39,0.39,0.52,0.29,0.4,0.44,0.35,0.53,0.47,0.54,0.44,0.49,0.47,0.44,0.52,0.41,0.51,0.31,0.46,0.56,0.59,0.5,0.35,0.98,1.0,0.71,0.67,0.47,0.5,0.44,0.44,0.45,0.59,0.38,0.44,0.45,0.56,0.5,0.46,0.49,0.46,0.43
Romit Jitendra Shah,0.61,0.45,0.43,0.49,0.49,0.39,0.48,0.42,0.48,0.45,0.44,0.5,0.42,0.49,0.44,0.35,0.41,0.42,0.37,0.45,0.47,0.47,0.57,0.55,0.56,0.41,0.43,0.46,0.44,0.48,0.56,0.37,0.49,0.48,0.47,0.39,0.69,0.71,1.0,0.88,0.4,0.39,0.52,0.43,0.41,0.5,0.45,0.53,0.51,0.55,0.51,0.54,0.32,0.43,0.43
Romit Shah,0.62,0.52,0.39,0.45,0.4,0.4,0.42,0.45,0.46,0.41,0.46,0.45,0.45,0.47,0.47,0.45,0.28,0.39,0.37,0.44,0.58,0.47,0.49,0.52,0.39,0.39,0.41,0.54,0.34,0.47,0.54,0.42,0.41,0.4,0.5,0.41,0.69,0.67,0.88,1.0,0.41,0.47,0.49,0.49,0.52,0.45,0.42,0.57,0.5,0.51,0.48,0.53,0.37,0.41,0.29
Shek Ho,0.4,0.41,0.48,0.48,0.41,0.42,0.47,0.4,0.41,0.42,0.49,0.48,0.48,0.5,0.5,0.48,0.4,0.4,0.41,0.41,0.45,0.59,0.55,0.49,0.48,0.43,0.55,0.48,0.62,0.54,0.48,0.66,0.48,0.48,0.48,0.48,0.54,0.47,0.4,0.41,1.0,0.78,0.58,0.6,0.61,0.41,0.41,0.38,0.41,0.56,0.4,0.58,0.5,0.45,0.48
Sidney Ho,0.4,0.47,0.46,0.46,0.31,0.31,0.44,0.46,0.47,0.49,0.52,0.49,0.58,0.59,0.64,0.46,0.5,0.45,0.47,0.42,0.42,0.56,0.52,0.44,0.46,0.51,0.53,0.42,0.64,0.51,0.42,0.61,0.59,0.58,0.52,0.59,0.51,0.5,0.39,0.47,0.78,1.0,0.45,0.56,0.57,0.44,0.47,0.45,0.44,0.59,0.42,0.53,0.47,0.43,0.56
Sreekrishnan Sankar,0.46,0.32,0.43,0.36,0.38,0.28,0.46,0.42,0.48,0.45,0.41,0.41,0.35,0.44,0.33,0.55,0.55,0.5,0.37,0.51,0.43,0.39,0.42,0.44,0.41,0.37,0.39,0.62,0.5,0.47,0.39,0.45,0.43,0.42,0.5,0.47,0.46,0.44,0.52,0.49,0.58,0.45,1.0,0.61,0.65,0.4,0.32,0.41,0.26,0.48,0.53,0.45,0.37,0.43,0.51
Stephen Chin,0.46,0.52,0.53,0.44,0.29,0.3,0.46,0.44,0.45,0.54,0.48,0.46,0.27,0.29,0.46,0.56,0.41,0.48,0.46,0.42,0.5,0.42,0.5,0.52,0.54,0.53,0.54,0.39,0.53,0.51,0.5,0.46,0.39,0.38,0.49,0.5,0.45,0.44,0.43,0.49,0.6,0.56,0.61,1.0,0.88,0.42,0.46,0.54,0.34,0.39,0.38,0.46,0.49,0.54,0.33
Steven Chin,0.47,0.52,0.55,0.45,0.29,0.3,0.42,0.27,0.29,0.55,0.5,0.47,0.47,0.41,0.47,0.34,0.42,0.48,0.46,0.39,0.51,0.42,0.51,0.53,0.42,0.38,0.4,0.4,0.55,0.49,0.57,0.41,0.4,0.39,0.5,0.4,0.46,0.45,0.41,0.52,0.61,0.57,0.65,0.88,1.0,0.36,0.46,0.47,0.35,0.34,0.47,0.41,0.5,0.56,0.34
Thomas Robert Diffely,0.47,0.27,0.5,0.35,0.37,0.38,0.54,0.49,0.39,0.45,0.43,0.43,0.42,0.31,0.27,0.34,0.43,0.52,0.48,0.5,0.54,0.53,0.53,0.47,0.53,0.53,0.52,0.42,0.49,0.44,0.45,0.48,0.42,0.42,0.33,0.34,0.58,0.59,0.5,0.45,0.41,0.44,0.4,0.42,0.36,1.0,0.58,0.61,0.61,0.64,0.41,0.31,0.31,0.42,0.35
Tim Arcuri,0.59,0.48,0.49,0.46,0.47,0.47,0.38,0.49,0.46,0.45,0.5,0.56,0.45,0.47,0.47,0.35,0.55,0.43,0.52,0.51,0.35,0.47,0.53,0.41,0.39,0.44,0.46,0.45,0.5,0.54,0.41,0.43,0.41,0.4,0.44,0.46,0.39,0.38,0.45,0.42,0.41,0.47,0.32,0.46,0.46,0.58,1.0,0.93,0.52,0.68,0.36,0.6,0.42,0.46,0.29
Timothy Arcuri,0.55,0.48,0.52,0.41,0.45,0.46,0.52,0.52,0.5,0.46,0.47,0.44,0.37,0.39,0.4,0.49,0.56,0.43,0.39,0.51,0.38,0.52,0.65,0.52,0.48,0.52,0.54,0.54,0.44,0.56,0.54,0.4,0.42,0.41,0.44,0.41,0.46,0.44,0.53,0.57,0.38,0.45,0.41,0.54,0.47,0.61,0.93,1.0,0.59,0.72,0.43,0.49,0.34,0.46,0.27
Tom Diffely,0.5,0.46,0.33,0.56,0.46,0.47,0.38,0.38,0.4,0.31,0.47,0.44,0.33,0.36,0.3,0.39,0.55,0.53,0.4,0.39,0.56,0.54,0.39,0.58,0.55,0.38,0.4,0.28,0.47,0.37,0.4,0.29,0.28,0.28,0.33,0.48,0.54,0.45,0.51,0.5,0.41,0.44,0.26,0.34,0.35,0.61,0.52,0.59,1.0,0.62,0.3,0.46,0.41,0.51,0.45
Toshiya Hari,0.6,0.49,0.53,0.6,0.39,0.3,0.46,0.46,0.48,0.47,0.48,0.46,0.38,0.41,0.46,0.39,0.49,0.47,0.49,0.66,0.39,0.53,0.53,0.56,0.52,0.58,0.61,0.6,0.55,0.51,0.39,0.49,0.47,0.46,0.46,0.33,0.59,0.56,0.55,0.51,0.56,0.59,0.48,0.39,0.34,0.64,0.68,0.72,0.62,1.0,0.38,0.51,0.41,0.39,0.28
Unverified Participant,0.36,0.48,0.47,0.46,0.26,0.39,0.41,0.41,0.43,0.45,0.43,0.51,0.5,0.53,0.38,0.38,0.48,0.46,0.44,0.4,0.55,0.49,0.48,0.49,0.46,0.36,0.38,0.55,0.49,0.49,0.34,0.48,0.46,0.46,0.49,0.42,0.5,0.5,0.51,0.48,0.4,0.42,0.53,0.38,0.47,0.41,0.36,0.43,0.3,0.38,1.0,0.49,0.43,0.34,0.42
Vivek Arya,0.52,0.48,0.4,0.41,0.4,0.31,0.27,0.5,0.46,0.48,0.59,0.56,0.4,0.42,0.43,0.41,0.49,0.33,0.37,0.49,0.49,0.54,0.49,0.41,0.39,0.44,0.52,0.51,0.39,0.42,0.41,0.43,0.41,0.4,0.55,0.46,0.47,0.46,0.54,0.53,0.58,0.53,0.45,0.46,0.41,0.31,0.6,0.49,0.46,0.51,0.49,1.0,0.47,0.46,0.29
West Twigg,0.34,0.42,0.51,0.46,0.4,0.31,0.33,0.34,0.36,0.41,0.36,0.34,0.4,0.42,0.38,0.39,0.45,0.44,0.4,0.34,0.46,0.47,0.49,0.36,0.39,0.39,0.41,0.35,0.39,0.5,0.46,0.42,0.41,0.4,0.5,0.29,0.56,0.49,0.32,0.37,0.5,0.47,0.37,0.49,0.5,0.31,0.42,0.34,0.41,0.41,0.43,0.47,1.0,0.97,0.52
Weston Twigg,0.46,0.52,0.46,0.5,0.39,0.3,0.41,0.32,0.34,0.47,0.4,0.37,0.47,0.45,0.36,0.44,0.44,0.43,0.46,0.33,0.5,0.42,0.47,0.46,0.46,0.45,0.47,0.39,0.46,0.48,0.44,0.49,0.39,0.38,0.49,0.39,0.48,0.46,0.43,0.41,0.45,0.43,0.43,0.54,0.56,0.42,0.46,0.46,0.51,0.39,0.34,0.46,0.97,1.0,0.44
Y. Edwin Mok,0.38,0.49,0.33,0.39,0.58,0.53,0.4,0.46,0.34,0.47,0.4,0.46,0.61,0.51,0.81,0.28,0.52,0.5,0.29,0.33,0.39,0.53,0.38,0.34,0.46,0.53,0.5,0.47,0.42,0.26,0.28,0.41,0.44,0.43,0.27,0.43,0.43,0.43,0.43,0.29,0.48,0.56,0.51,0.33,0.34,0.35,0.29,0.27,0.45,0.28,0.42,0.29,0.52,0.44,1.0
